 	"TCGA-A6-2670-01A-02T-0822-13"	"TCGA-A6-2672-01A-01T-0827-13"	"TCGA-A6-2674-01A-02T-0822-13"	"TCGA-A6-2676-01A-01T-0827-13"	"TCGA-A6-2677-01A-01T-0822-13"	"TCGA-A6-2678-01A-01T-0822-13"	"TCGA-A6-2683-01A-01T-0822-13"	"TCGA-A6-3807-01A-01T-1021-13"	"TCGA-A6-3808-01A-01T-1021-13"	"TCGA-A6-3809-01A-01T-1021-13"	"TCGA-A6-3810-01A-01T-1021-13"	"TCGA-AA-3514-01A-02T-0822-13"	"TCGA-AA-3516-01A-02T-0827-13"	"TCGA-AA-3517-01A-01T-0822-13"	"TCGA-AA-3518-01A-02T-0827-13"	"TCGA-AA-3524-01A-02T-0822-13"	"TCGA-AA-3525-01A-02T-0827-13"	"TCGA-AA-3526-01A-02T-0822-13"	"TCGA-AA-3534-01A-01T-0822-13"	"TCGA-AA-3538-01A-01T-0822-13"	"TCGA-AA-3543-01A-01T-0827-13"	"TCGA-AA-3552-01A-01T-0822-13"	"TCGA-AA-3555-01A-01T-0822-13"	"TCGA-AA-3558-01A-01T-0822-13"	"TCGA-AA-3561-01A-01T-0822-13"	"TCGA-AA-3562-01A-02T-0822-13"	"TCGA-AA-3666-01A-02T-0906-13"	"TCGA-AA-3667-01A-01T-0906-13"	"TCGA-AA-3672-01A-01T-0906-13"	"TCGA-AA-3675-01A-02T-0906-13"	"TCGA-AA-3679-01A-02T-0906-13"	"TCGA-AA-3681-01A-01T-0906-13"	"TCGA-AA-3685-01A-02T-0906-13"	"TCGA-AA-3693-01A-01T-0906-13"	"TCGA-AA-3695-01A-01T-0906-13"	"TCGA-AA-3696-01A-01T-0906-13"	"TCGA-AA-3710-01A-01T-1021-13"	"TCGA-AA-3715-01A-01T-0906-13"	"TCGA-AA-3811-01A-01T-1021-13"	"TCGA-AA-3812-01A-01T-0906-13"	"TCGA-AA-3818-01A-01T-0906-13"	"TCGA-AA-3821-01A-01T-1021-13"	"TCGA-AA-3831-01A-01T-0906-13"	"TCGA-AA-3837-01A-01T-0906-13"	"TCGA-AA-3842-01A-01T-1021-13"	"TCGA-AA-3844-01A-01T-1021-13"	"TCGA-AA-3846-01A-01T-1021-13"	"TCGA-AA-3848-01A-01T-0906-13"	"TCGA-AA-3854-01A-01T-0906-13"	"TCGA-AA-3855-01A-01T-1021-13"	"TCGA-AA-3856-01A-01T-0906-13"	"TCGA-AA-3860-01A-02T-0906-13"	"TCGA-AA-3861-01A-01T-1021-13"	"TCGA-AA-3862-01A-01T-1021-13"	"TCGA-AA-3864-01A-01T-1021-13"	"TCGA-AA-3866-01A-01T-1021-13"	"TCGA-AA-3869-01A-01T-1021-13"	"TCGA-AA-3877-01A-01T-1021-13"	"TCGA-AA-3939-01A-01T-1021-13"	"TCGA-AA-3941-01A-01T-1021-13"	"TCGA-AA-3947-01A-01T-1021-13"	"TCGA-AA-3949-01A-01T-1021-13"	"TCGA-AA-3950-01A-02T-1021-13"	"TCGA-AA-3952-01A-01T-1021-13"	"TCGA-AA-3966-01A-01T-1114-13"	"TCGA-AA-3968-01A-01T-1021-13"	"TCGA-AA-3975-01A-01T-1021-13"	"TCGA-AA-3976-01A-01T-1021-13"	"TCGA-AA-3977-01A-01T-1021-13"	"TCGA-AA-3979-01A-01T-1021-13"	"TCGA-AA-3986-01A-02T-1021-13"	"TCGA-AA-3989-01A-01T-1021-13"	"TCGA-AA-3994-01A-01T-1114-13"	"TCGA-AA-A00D-01A-21R-A076-13"	"TCGA-AA-A00J-01A-31R-A076-13"	"TCGA-AA-A00L-01A-31R-A076-13"	"TCGA-AA-A00O-01A-11R-A076-13"	"TCGA-AA-A00Q-01A-31R-A076-13"	"TCGA-AA-A00U-01A-21R-A076-13"	"TCGA-AA-A00W-01A-21R-A076-13"	"TCGA-AA-A010-01A-54R-A076-13"	"TCGA-AA-A01D-01A-21R-A076-13"	"TCGA-AA-A01F-01A-21R-A076-13"	"TCGA-AA-A01G-01A-21R-A076-13"	"TCGA-AA-A024-01A-11R-A076-13"	"TCGA-AA-A029-01A-22R-A076-13"	"TCGA-AA-A02E-01A-21R-A076-13"	"TCGA-AA-A02F-01A-21R-A076-13"	"TCGA-AA-A02H-01A-31R-A076-13"	"TCGA-AA-A02J-01A-21R-A076-13"	"TCGA-AY-4070-01A-01T-1114-13"	"TCGA-AY-4071-01A-01T-1114-13"
hsa-let-7i	0.285062	2.858046	2.769827	0.277739	-0.445750	1.852776	1.044228	0.932908	-1.382614	-0.055338	-0.715029	-0.142575	2.207332	-0.895826	1.173810	-0.436972	-0.946461	-0.222147	0.878023	0.715663	0.625816	0.397201	-0.059671	-0.565389	-1.849080	-0.224871	-0.758049	-1.270540	0.695290	-0.291822	-1.273097	0.268757	-0.604728	-0.299696	-0.882088	0.003383	1.425061	3.385387	0.142485	-0.720885	-0.330170	0.413921	-0.893212	-0.326103	0.021425	-1.193450	-1.270092	-0.963624	-1.596173	0.031805	-0.005845	0.404723	-0.606957	0.166544	0.124940	-0.601792	0.616782	-0.300912	-0.788909	-0.987859	0.023289	-0.108604	2.002435	-0.782081	0.917084	1.974396	-0.967041	-1.279956	-0.330791	-0.509346	-0.716905	-1.123808	-0.885426	0.457727	0.552557	0.188489	-0.185068	-0.738958	1.242687	-0.050904	0.633696	0.030411	-1.013535	1.252196	-0.454776	-0.621848	0.514579	-0.472418	-0.807176	1.114616	0.434746	-0.101475	
hsa-mir-1-2	1.540437	-0.847708	-0.503882	-0.697401	0.204259	-0.782210	-0.830667	0.364172	3.819829	-0.899525	-0.405345	2.007342	-0.398167	-0.306106	-0.960003	-0.082791	-0.813337	-0.781316	0.432369	0.098734	-0.933293	-0.071734	-0.858972	-0.732597	-0.805835	-0.115140	-0.930646	0.112965	-0.224872	-0.690106	-0.460799	-0.634039	-0.604618	2.580069	-0.098618	-0.384712	-0.711277	-0.741575	-0.214584	2.198675	2.815096	-0.713579	-0.348585	1.382267	1.442899	-0.384838	-0.654894	-0.522747	-0.645011	-0.511442	0.013607	-0.653164	-0.157603	-0.162774	-0.531225	1.279118	-0.591624	0.510859	-0.443246	0.087716	-0.673153	2.404357	-0.794244	0.048521	0.413835	-0.238600	-0.591577	-0.422682	-0.695954	-0.657716	-0.228641	-0.462144	1.548566	-0.947150	-0.892193	-0.561359	1.827649	-0.107184	0.219848	0.661158	-0.950881	-0.241604	1.228224	-0.564488	-0.614266	0.459806	2.791879	0.546127	0.407846	-0.486959	-0.009912	0.535088	
hsa-mir-100	2.090156	-0.080143	1.040617	-0.918655	-0.191664	-0.232783	4.295406	0.083920	2.312964	-0.676277	2.436652	2.690543	-0.498701	-0.047120	-1.242691	-0.576075	-1.168587	-0.929727	1.440301	-0.019846	-0.940644	-0.497039	-0.746582	-0.232576	-1.221172	0.068741	-1.024392	1.408174	-0.536115	0.472337	-0.633375	-0.783859	-0.292586	0.825223	0.006024	-0.021551	-0.297785	2.470932	-0.535289	-0.156530	1.488423	-0.586048	-0.092762	0.628372	-0.662550	-1.038731	-0.618540	-0.950275	-1.394429	-0.436910	0.678877	-0.885414	-0.707926	-0.646327	0.181632	0.338071	-0.216084	-0.014113	-0.795916	0.037146	-0.676274	2.641943	0.338910	0.435323	0.243128	0.053379	-0.427390	-0.167661	-0.072793	-1.001238	0.568053	-0.376860	0.189499	-0.121252	-1.251228	-0.576677	0.656353	0.501027	0.516958	-0.728573	-1.178376	-0.032131	-0.345983	-0.381172	0.105540	-0.220721	0.816018	-0.115236	-0.610364	0.141049	-0.174313	-0.195656	
hsa-mir-101-1	-0.561356	-1.277037	-0.509284	-1.117162	0.025017	-0.713648	0.531650	0.017377	1.773627	1.076260	2.126339	-0.102182	-1.056352	0.398449	-1.345656	-1.123862	-1.467023	-0.986341	-0.604027	-0.014457	-1.549671	-0.253372	-1.271420	-0.432615	-1.337530	-0.048122	-1.121742	-0.509451	-0.515594	-0.457507	0.757950	-0.912025	-0.125152	-0.861314	-0.458201	-1.361115	-0.674503	-0.670625	1.330413	0.370867	1.183861	-0.176477	-0.074568	0.011734	1.147895	1.239553	1.147648	0.485583	-0.036890	-0.510498	3.319733	0.576531	2.449933	-0.440041	-0.413712	1.427069	-0.424367	0.851458	1.203569	1.782001	0.512324	-0.024821	0.652188	0.581282	0.202818	-0.502178	1.801158	1.583526	0.054103	-0.437478	0.760304	-0.164779	-0.879109	-0.540170	-0.834985	-0.321981	2.415071	-0.923198	-1.275818	0.233649	-1.715194	-0.188668	-0.707933	-0.529259	-0.798095	-0.192327	0.468105	0.612856	0.936049	0.195188	-0.739279	0.047034	
hsa-mir-103-1	0.380834	0.227517	1.873771	0.423156	1.202907	0.468622	-0.091068	0.163440	-1.670515	-1.059389	-0.939866	0.079338	1.899912	-0.363469	0.449512	0.003086	0.512360	0.115967	-0.251652	0.113695	0.004510	-0.142692	0.562646	2.250605	-1.356451	0.439306	0.905011	-0.210546	-0.481846	0.361391	0.033041	-0.465103	-0.558842	-0.466869	-1.348359	-0.812471	0.378947	0.473381	0.712948	-1.641783	-1.145564	-0.321163	-1.300001	-0.699636	-1.335366	-1.406195	-1.333839	-1.132189	-0.967569	-0.270594	-0.365576	-0.878636	-1.158257	0.698251	0.081378	-1.366340	0.829696	-1.104933	-1.241318	-0.966451	0.102738	-0.194464	0.716928	-0.763079	0.421086	0.295722	-0.406328	-0.809081	-0.914401	1.394346	-0.735280	-1.140880	-0.025402	-0.465664	1.945175	-0.393807	0.779316	-0.718317	0.548894	1.357655	1.380837	2.022723	0.639550	0.993858	0.657107	0.247001	0.511866	-0.361262	0.435849	-0.180529	3.783752	2.083411	
hsa-mir-103-2	-0.543436	-0.891991	-0.688192	-0.921436	-0.893572	-0.683551	-0.050760	-0.432645	-0.379962	1.197461	0.741683	-0.550863	-0.731528	-0.692003	-0.884880	-0.681341	-0.851738	-0.647445	-0.828146	-0.808563	-0.890619	-0.596523	-0.719978	-0.774297	-0.721040	-0.202428	-0.022849	-0.565804	0.039189	-0.148969	0.619684	-0.593708	2.482523	-0.748940	1.100570	-0.444500	-0.427785	0.034301	1.466963	-0.379350	-0.060369	1.744555	0.198560	-0.492042	3.368970	1.708450	3.163226	0.961164	-0.429349	-0.248656	0.684658	-0.030856	0.547799	1.091822	0.204461	0.894455	-0.079933	0.966337	3.639989	1.518911	-0.474377	-0.387383	0.818692	-0.626548	-0.623731	1.324974	-0.308345	1.361441	1.566923	0.525342	-0.212362	-0.370869	-0.906672	-0.736516	-0.550922	-0.079380	0.085787	-0.792384	1.046088	-0.903176	-0.361039	-0.635601	-0.580523	-0.506346	-0.871732	-0.825319	-0.678370	-0.914858	-0.726625	0.272941	-0.760779	-0.804015	
hsa-mir-106a	-0.640038	-0.876611	-0.449999	-0.987888	-0.571324	-0.577222	-1.080205	-0.462728	-1.215533	1.646692	1.349393	-0.840785	-0.849640	-1.120533	-0.664105	0.444151	-1.084507	-0.324179	-0.797511	-0.442284	-0.855740	-0.734503	-0.954184	-0.016476	-0.017298	-0.228213	0.914010	-0.195949	1.009747	1.175062	2.490584	0.519636	2.588593	-0.308705	1.967954	0.294418	-0.893735	-0.399228	2.705394	-0.454707	-0.239068	-0.591953	-0.195986	-0.610294	0.571312	0.328315	4.087645	2.120680	-0.816966	-0.109734	-0.045118	0.721294	-0.226212	-0.719770	-0.150881	0.040187	-0.423186	0.213059	1.190354	1.301159	-0.315723	-0.942383	-0.129667	-0.794604	-0.490507	0.037524	1.204202	1.858319	0.680562	-0.421597	-0.573927	-0.725469	-0.962865	0.535522	-0.216092	-0.094790	-1.175388	-0.588506	-0.598670	-0.326502	-0.043043	0.615882	-0.177692	-0.429094	-1.191022	-0.924681	-0.667888	-0.042479	0.444332	1.033736	0.671578	-0.755714	
hsa-mir-106b	-1.096073	-0.858083	0.185644	-0.410198	-0.952619	-0.765334	-0.924456	-0.829753	-1.236937	0.074027	-0.758874	-0.806231	0.502356	-0.586264	-0.540916	-0.790265	-1.148262	-0.737292	-0.503507	-0.297540	-1.235812	-0.184038	-0.476886	-0.152149	-0.965465	-0.600430	-0.499691	-0.784265	1.688717	-0.659187	2.163124	0.534678	0.776630	-0.767967	0.605909	-0.147031	-0.730239	0.155053	1.322514	-0.673551	-0.298063	0.407374	-0.548608	-1.059088	0.607175	-0.126761	-0.204418	1.682862	-0.529923	-0.364667	0.094774	0.187768	-0.454926	-0.301677	-0.253545	-0.547944	0.112026	0.153602	-0.245556	-0.113737	-0.549305	-0.941938	1.913102	-0.602864	-0.322908	1.267335	0.399065	0.080112	0.265946	0.703868	-0.575049	-0.387625	-1.237979	0.244096	1.694645	0.419566	-0.505040	0.584012	1.662720	-0.174803	1.524589	0.568933	1.487852	0.578505	-0.647435	-0.002432	-0.182717	0.536369	0.288219	1.983724	5.565161	-0.723732	
hsa-mir-107	-0.041426	0.491069	1.652661	0.355964	0.419243	0.090271	-0.054596	-0.439497	-1.842930	-0.557423	-0.593241	-0.371873	2.722282	-1.103916	0.251605	-0.326986	0.052958	0.355570	-1.043362	-0.200805	-0.093405	0.195026	0.196674	1.102010	-1.877769	1.041040	1.308935	-0.600150	0.897108	1.712438	0.408984	0.551473	0.456348	-0.922288	-1.580832	-1.117630	0.600569	1.650439	0.675062	-1.441062	-0.558274	-0.442587	-1.427417	-0.444202	-1.210948	-1.011211	-1.023165	-0.691719	-0.400416	-0.593824	0.824104	-0.608990	-1.123772	0.450316	-0.117609	-1.099265	0.719793	-0.982194	-0.837792	-0.393726	0.088996	-0.288265	0.688559	-0.975242	0.532161	-0.126691	-0.834327	-0.957071	-0.235663	1.084483	-1.341831	-1.524326	-0.669795	0.090189	2.181239	-0.393664	2.403563	-1.244346	-0.071985	0.941532	1.250045	1.909222	0.376743	0.984457	0.175237	0.119665	0.317076	-0.497871	0.313285	-0.409223	2.561237	1.546968	
hsa-mir-10a	-0.096442	1.710929	0.266629	1.550998	-1.048505	-0.355781	-0.724747	-0.565750	-0.860884	-1.231581	-0.612272	0.001545	0.481648	-0.501567	2.738554	-0.807575	1.105580	-0.800316	0.203934	-0.264712	0.864484	0.290512	-0.622748	-0.268083	2.084448	-0.093994	1.512760	-0.196592	0.554291	-0.085754	-0.288379	0.137051	-0.863585	-0.387044	0.762491	-0.500868	-0.986652	-0.712775	-1.047019	-0.928449	-0.626603	0.577374	-0.645548	-0.760305	-0.903966	-0.562437	-1.116779	0.730476	-1.108866	-0.440313	-0.949929	-1.211809	-0.603946	-0.375251	-0.576995	-0.783355	0.168754	-0.271170	-0.506894	-0.806145	2.493268	-0.251344	0.261559	-0.214389	-0.687034	0.222866	-0.814481	0.249533	-0.228120	-0.524865	0.624558	0.637561	0.298449	1.286738	0.277195	-0.710008	0.405386	1.812831	0.666070	0.048816	4.805516	-0.524219	-0.423814	0.987092	2.182894	0.490222	-0.319018	0.653676	-1.055363	-0.157338	-0.557517	-0.576795	
hsa-mir-10b	-0.401536	-0.009710	-0.191218	1.283306	1.574559	-0.414117	-1.160692	0.203165	0.426019	-0.664630	-1.069299	5.167246	0.643733	-0.294439	0.474232	-1.013669	1.598680	-0.789957	2.336336	-0.562046	0.821247	0.186752	1.769238	-1.044734	-0.526830	0.228243	-0.706450	-0.483177	-0.724658	0.932217	-0.887427	-0.647142	-1.204899	-0.903804	0.961455	-0.190351	-0.161369	0.596706	-0.022148	-0.402884	0.153878	-0.455677	-0.757903	0.170169	-1.161470	-0.704341	-1.159302	-0.795426	-1.407634	-0.988050	-0.992715	0.990283	-0.892354	0.868968	-0.300268	-0.407418	-0.575974	-0.547112	-0.620346	-0.407092	-0.179486	0.465974	-0.101124	0.108854	1.956165	-0.556930	-0.926558	-0.861754	-1.014709	-0.253891	-0.493841	0.993466	-0.290153	-0.646822	0.621282	0.355919	0.809114	-0.318144	0.764418	-0.385396	-0.271159	-0.113716	-0.425734	1.451617	0.038882	2.158812	1.005294	0.308247	0.050074	0.993214	1.019425	-0.997507	
hsa-mir-1180	-0.198326	0.020691	0.007673	0.628148	-0.074110	-0.836399	0.112761	-0.998479	-0.995594	-0.346724	-0.507184	1.031295	0.913270	-0.502124	1.028918	-0.586617	0.241798	0.321796	-0.040555	0.306588	-0.586170	-0.743838	2.278704	0.610016	-0.352428	-1.021757	-0.354800	-0.813108	2.586403	0.044619	-0.536671	-0.431276	-1.074103	-0.730193	-0.624085	-0.221441	1.236029	0.864565	1.330280	-0.904180	-0.493752	2.183802	-0.524475	-0.932586	-0.955652	-0.789073	-0.167962	-0.852185	-0.608648	-0.307507	-0.031875	0.879084	-0.365985	-0.963617	1.036952	-0.703451	-0.830830	-0.239938	-0.659352	-0.419321	0.538286	-0.771042	0.281531	-0.753171	1.166139	-0.474570	-0.911480	-0.018096	-0.795961	-0.428418	0.357388	-0.928526	-0.602519	-1.205195	1.951058	-0.132526	-1.040328	0.120280	3.449733	0.146916	4.001564	0.341417	0.477971	-0.475442	0.762432	-0.316976	0.517804	-1.088256	-0.581891	1.343937	1.565846	-0.834926	
hsa-mir-1201	0.950602	-0.542087	-0.288165	-0.531771	0.485931	-1.031886	-0.636721	1.392338	-0.771626	-0.770884	-1.035061	0.568982	0.896192	-0.366109	-0.483591	-0.451633	-0.767366	1.995567	-0.862993	-0.331676	-0.079171	-0.682678	-0.911597	0.658197	-0.872625	-0.482959	-0.776812	-0.040487	-0.437160	-0.219514	1.554475	-0.325110	0.042375	-0.212382	4.173340	-0.124566	-0.866504	-0.466713	-0.249954	-0.664511	-0.807595	-0.066112	1.869587	-0.279226	0.056039	-0.290305	-0.478160	0.365725	-0.661741	0.057491	1.161417	4.510151	0.885695	-0.134405	-0.617308	-0.798364	-0.526674	-0.059104	-0.490418	0.106680	-0.743439	-0.966466	-0.499119	-0.320157	-0.733940	0.758136	-0.015041	1.258381	-1.127953	1.631333	-0.704214	-0.847166	-0.523570	1.031600	-0.779978	1.257672	-0.905961	-0.275303	1.091223	-0.624075	-0.081594	-0.467258	0.549781	-0.117199	-0.519438	-0.377250	-0.231435	-0.054935	0.376157	2.426370	0.607524	-0.309744	
hsa-mir-1226	-0.515578	-0.546144	0.295206	0.110290	-0.490054	-0.015171	-0.165786	-0.573805	-0.420985	0.018422	-0.435612	0.564317	0.547197	-0.187081	-0.475279	-0.722476	-0.072050	-0.478428	0.437295	0.669241	-0.722476	0.383555	-0.194975	-0.200274	1.205077	-0.282712	-0.477833	-0.045700	0.316354	-0.123229	-0.482074	-0.722476	-0.345348	0.029095	0.531333	0.692561	-0.173809	-0.197096	0.891789	-0.433821	-0.381361	0.157688	0.256675	-0.461061	-0.543004	-0.722476	-0.225155	-0.722476	-0.722476	-0.385631	0.351522	-0.722476	-0.722476	0.171062	-0.261745	-0.433792	0.623746	-0.491071	-0.722476	-0.439875	-0.504404	-0.254110	0.443987	-0.505745	-0.722476	-0.422209	-0.360350	0.253256	-0.722476	-0.163815	-0.160569	-0.344412	-0.407242	0.176426	1.372897	-0.281638	-0.011041	-0.549152	3.793214	-0.182230	0.699569	0.866564	-0.340201	0.040928	-0.156427	-0.606329	-0.466093	-0.638373	-0.477958	5.694227	4.775295	-0.633710	
hsa-mir-1227	1.288292	-0.124645	0.123727	-0.347999	1.592041	1.456499	0.348058	-0.068080	-1.173841	-0.439104	-0.320405	-0.791014	0.337098	-0.642898	-1.173841	-1.173841	-0.012809	-0.447784	0.743039	0.896377	-0.114234	-0.515741	1.964850	0.379740	0.390134	0.134482	-1.173841	-0.838267	0.371448	1.500348	0.256579	0.482089	-0.612853	-0.157494	1.312926	1.164945	-0.847378	0.910207	0.427001	0.758379	-0.666424	0.638992	1.739189	-1.173841	-0.105963	-1.173841	-1.173841	-0.418516	-0.079772	-0.505752	0.195532	-1.173841	-0.575297	-0.435418	0.196860	-0.314989	-1.173841	2.268376	-1.173841	-0.333086	-1.173841	-1.173841	-0.017076	-1.012644	-1.173841	-0.727186	-0.635168	-1.173841	0.577408	0.488206	-0.402285	-0.404268	-0.470463	0.609015	-0.134866	0.793437	-0.468321	0.888761	1.605695	-0.852389	2.774777	-0.858676	-1.173841	-0.322152	0.029036	-0.137208	-0.156835	-0.673419	0.038582	4.280458	1.279585	-0.645672	
hsa-mir-1247	-0.344396	-0.642461	-0.223647	-0.536568	-0.345371	-0.620810	-0.624727	-0.557427	-0.581049	-0.416698	-0.596244	0.486811	-0.617018	-0.617479	-0.565084	1.748381	-0.630708	-0.441873	0.623685	-0.226934	-0.416444	-0.008613	-0.622336	-0.303392	-0.462193	-0.530465	-0.379039	0.004168	0.364242	-0.372368	-0.451154	0.940434	2.466062	-0.087244	-0.497806	-0.465002	-0.626407	1.276618	-0.605420	-0.530446	-0.277427	-0.579081	6.119091	-0.112521	-0.522489	0.664111	-0.379603	-0.563992	-0.631383	3.773197	0.545836	-0.350816	0.125747	1.034897	-0.165008	-0.508372	-0.536646	-0.603726	2.204132	-0.083096	-0.585470	-0.572112	-0.638880	-0.627017	1.112463	0.383173	0.049057	0.206748	0.465368	-0.218912	0.224407	-0.319720	-0.617508	-0.514327	-0.643159	0.142940	1.203727	0.749898	-0.126484	-0.408831	0.102155	-0.623558	0.322490	-0.543855	-0.135799	-0.566257	1.479767	-0.462141	-0.281596	-0.294808	-0.643438	0.265249	
hsa-mir-1248	-0.884753	1.415353	-0.545962	0.245277	-0.847032	-0.667877	-0.056538	-0.201823	-1.190509	0.269370	-0.554612	0.520967	-0.064705	-0.663033	-0.825198	-0.401563	-0.421542	-0.829852	-0.619201	-0.676334	-0.137821	-0.863608	2.317461	0.352927	0.104293	-0.800575	-0.467436	0.143022	-0.806710	0.580642	0.941110	-0.093765	-0.354522	1.737652	-0.572877	-1.190509	-0.379681	0.879930	-0.660380	-0.763931	-1.190509	0.010154	1.414098	-0.804187	-0.129605	-0.600811	0.646861	-0.064920	-1.190509	-0.858646	-0.283556	0.581709	-0.893191	0.936935	5.164324	0.089356	0.003171	-0.506562	-0.030212	-0.355245	-0.384833	0.655247	0.964261	-0.229643	-0.696319	-0.303031	0.950114	1.693392	0.549305	2.029318	-0.711435	-0.720018	0.090597	1.023508	-0.158319	2.066876	-0.840053	1.627049	-1.190509	-0.551803	0.350604	-0.877402	-0.437267	-0.485403	-0.234491	-0.675577	-0.306440	-0.693355	-0.829158	2.196167	0.840661	0.383651	
hsa-mir-1249	0.677611	0.917755	-0.671054	-0.689749	-0.424085	-0.080103	-0.656658	-0.028959	-0.655838	1.719430	0.544345	2.202502	-0.363047	-0.408392	-1.083569	-0.578638	-0.714461	0.301372	-0.352286	-0.589956	-0.578273	-0.455911	-1.083569	0.398146	-1.083569	-0.085327	0.304747	-1.083569	-0.346666	2.317079	1.644934	1.022204	-0.013493	-0.695836	-0.490636	-0.637449	-0.772207	-0.089747	0.103934	0.144990	-0.841596	0.261189	-0.527913	1.512549	-0.574329	-1.083569	1.033105	1.797972	-0.735749	-0.605681	-0.212884	1.468454	0.629001	-0.801863	-0.212040	-0.264446	-1.083569	-0.426972	0.401628	1.322020	0.153964	1.131363	2.226195	-0.468608	-1.083569	1.472396	0.286445	-1.083569	4.762271	-0.608020	-0.776959	-0.293136	-1.083569	-0.233377	0.898259	-1.083569	-0.410686	-0.099975	1.125564	-0.776987	1.606403	0.118777	-1.083569	-0.542042	-0.624676	-0.424449	-0.356098	-0.606296	-0.621034	0.216929	-0.303591	-0.076095	
hsa-mir-1259	-0.133092	-0.467361	-0.912860	-0.553540	-0.772321	-0.775024	-0.533420	1.017784	-0.753183	0.433009	-0.494947	0.203647	0.238173	-0.176687	-0.319963	-0.432724	-0.719182	1.715969	-0.864187	-0.525197	-0.678626	-0.787383	-0.816112	0.849214	0.134863	-0.798107	-0.716094	1.146191	-0.534898	0.427372	6.741257	-0.427608	-0.025574	0.633725	0.956309	-0.540617	-0.173532	-0.806501	0.054129	-0.784905	-0.737412	-0.395678	1.090967	-0.584471	0.076730	-0.102082	-0.133312	0.020975	-0.500826	0.777371	-0.366462	3.563470	0.249972	-0.381484	0.840316	-0.538193	-0.339428	-0.001576	-0.413509	-0.302470	-0.751660	-0.836660	0.201068	-0.583942	-0.496586	-0.247481	0.897458	1.714648	-0.485609	0.563668	0.008674	-0.243175	-0.699605	-0.450418	-0.307586	0.628657	-0.003665	0.446014	-0.799293	0.036711	0.180871	0.726032	-0.073342	0.115405	-0.633630	-0.238445	-0.663643	-0.403399	0.600375	0.305004	0.520683	0.121974	
hsa-mir-125a	-0.513118	-0.585093	-0.419882	-1.482105	-0.515964	-0.158360	1.187785	-0.160968	0.540759	-0.515047	0.551902	0.212450	-0.766777	-0.459511	-1.174344	-0.957810	-1.344632	-0.559749	0.230081	-0.251367	-0.977115	0.260015	-0.905608	-0.681285	-0.140221	-0.328645	1.439616	0.821551	-0.556672	-0.431543	0.311863	-0.794461	0.142533	2.414200	-0.574926	1.626403	-0.121829	-0.092054	2.683339	-0.230181	-0.318696	-0.358884	-0.100948	-0.153897	0.308074	1.573307	0.425367	-0.795577	-1.525777	0.328670	-0.618755	-0.439048	-0.972280	-0.729778	-0.518069	0.015672	-0.353130	1.326512	-0.030324	1.746676	-0.878999	-0.700370	-0.076243	1.425126	-0.830108	0.294020	-0.002788	-0.025140	-0.384314	-0.251546	-0.769036	-0.767749	-1.167069	-1.063703	-1.256885	1.355845	3.803468	0.922312	1.144930	-0.132022	-0.760576	1.933046	-0.314321	-0.583478	0.275816	-0.379532	0.884570	1.132529	-0.949128	0.508052	2.886333	-0.805384	
hsa-mir-125b-1	0.931679	-0.606506	0.595883	-0.996330	-0.684109	-0.352188	2.639848	0.377553	2.134395	-0.807839	2.320970	2.402502	-0.742633	-0.394161	-1.281430	-0.869358	-1.397346	-0.865658	0.498999	-0.304478	-1.046469	-0.165988	-0.856067	-0.353746	-1.198778	-0.298623	-0.985620	0.233201	-0.420945	0.298889	-0.749476	-0.711320	0.145083	2.850346	0.308621	0.345328	-0.645910	2.471452	-0.497570	0.650968	2.813405	0.550210	-0.504062	1.278601	1.129087	-1.139517	-0.171470	-0.304254	-1.332230	-0.536526	0.418711	-0.217772	-0.918271	-0.098115	0.196776	0.257809	-0.103897	0.350592	0.382899	0.411046	-1.054659	0.102967	0.132538	1.152106	-0.925619	0.467514	-0.346810	-0.594516	0.522728	-1.005623	-0.621076	-0.947109	-0.584298	-0.345156	-1.348140	-0.349263	0.065548	0.638368	2.028850	-1.193562	-1.121883	-0.024879	-0.372186	-0.213054	0.687428	0.100017	0.808843	0.096862	-0.901527	1.526816	-0.038008	-0.779407	
hsa-mir-125b-2	0.211186	-0.503462	-0.377838	-0.407581	-0.334657	-0.501975	-0.219094	0.419999	5.997749	-0.290890	1.555818	1.095799	-0.652026	-0.318013	-1.034135	-1.034135	-0.642642	-0.666903	0.323218	-0.117927	-0.766165	-0.368414	-0.637255	-0.641242	-1.034135	-0.107704	-0.297881	-0.015755	0.529047	-0.132417	-0.310643	-0.754950	0.668317	0.405227	0.852536	3.461012	-0.373648	0.019955	-0.404376	0.703281	0.890714	-0.015344	0.733921	1.129371	1.126351	-0.133463	-0.659962	0.494008	-0.849678	-0.527266	-0.572392	-0.583004	-1.034135	-0.660648	0.352437	1.137857	-0.628988	1.403317	-0.246503	2.367824	-0.870062	0.140491	-0.741595	0.759563	-0.530937	-0.356393	-0.580042	1.535275	-1.034135	-0.697876	-0.578849	-0.375417	-0.322612	-0.583260	-0.683800	-0.370783	0.036399	-0.512514	0.840346	0.266563	-0.606170	-0.237098	-0.267162	-0.459768	0.791073	-0.684589	-0.005353	0.611068	-0.788842	-0.689294	0.206782	-0.232707	
